Сосенский - Н/Д
Боровск - 11210
Мариинск - 39332
Полысаево - 26738
Гурьевск - 23359
Таштагол - 23079
Калтан - 21186
Промышленная - 18069
Новый Городок - Н/Д
Яшкино - 14040
Бачатский - Н/Д
Грамотеино - Н/Д
Инской - Н/Д
Краснобродский - 11828
Яя - 10968
Мыски - 41938
Тяжинский - 10313
Тайга - 24532
Слободской - 33334
Вятские Поляны - 33053
Котельнич - 24169
Омутнинск - 22442
Яранск - 16283
Советск - 15719
Сосновка - 11420
Белая Холуница - 10597
Луза - 10461
Шерегеш - 10101
Топки - 28144
Зуевка - 10697
Нерехта - Н/Д
Волгореченск - Н/Д
Буй - Н/Д
Шарья - Н/Д
Ветлужский - Н/Д
Мантурово - Н/Д
Куртамыш - Н/Д
Далматово - Н/Д
Шумиха - Н/Д
Петухово - Н/Д
Щучье - Н/Д
Катайск - Н/Д
Курчатов - 38917
Щигры - 15678
Рыльск - 16242
Галич - Н/Д
Кингисепп - 47705
Волхов - 45585
Луга - 36148
Обоянь - 13410
Льгов - 19533
Кировск - 25691
Отрадное - 25203
Сланцы - 33037
Коммунар - 21743
Пикалёво - 20498
Никольское - 21343
Подпорожье - 17895
Лодейное Поле - 19976
Светогорск - 15787
Бокситогорск - 15451
Шлиссельбург - 14756
Рощино - 14388
Сясьстрой - 13211
Сиверский - 12527
Вырица - 12535
Волосово - 12187
Ульяновка - 12650
Новое Девяткино - 16248
Посёлок имени Морозова - 10656
Мга - 10200
Ивангород - 10502
Лебедянь - 19866
Приозерск - 18755
Грязи - 46503
Усмань - 19805
Чаплыгин - 11940
Волоколамск - 20976
Белоозёрский - 18235
Некрасовский - 10684
Зарайск - 23653
Истра - 34764
Яхрома - 14004
Дедовск - 29436
Глебовский - Н/Д
Нахабино - 40849
Высоковск - 10690
Луховицы - 30055
Томилино - 31364
Развилка - Н/Д
Малаховка - 25645
Данков - 19343
Красково - 23770
Октябрьский - 17766
Апрелевка - 25205
Калининец - 21173
Тосно - 38289
Можайск - 30413
Электроугли - 20612
Старая Купавна - 21856
Большие Вязёмы - 12588
Обухово - 10141
Селятино - 12744
Новый городок - Н/Д
Куровское - 21223
Ликино-Дулёво - 30069
Давыдово - Н/Д
Софрино - 15052
Голицыно - 17535
Правдинский - 10353
Ильинский - 11069
Удельная - 15310
Тучково - 18205
Руза - 13393
Дрезна - 11750
Хотьково - 21538
Быково - 10927
Пересвет - 13872
Андреевка - 11057
Краснозаводск - 13397
Кубинка - 20676
Запрудня - 12656
Талдом - 13099
Михнево - 11596
Бронницы - 22467
Звенигород - 20802
Кашира - 49638
Фряново - 11254
Котельники - 43128
Красноармейск - 26660
Лосино-Петровский - 25266
Протвино - 36910
Пущино - 21281
Рошаль - 20793
Черноголовка - 21786
Шаховская - 10638
Электрогорск - 23085
